baseline_id,backbone,case_id,reference_trial,parse_ok,decision,narrow_leak,wide_leak
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_02,NCT01482130,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_027,NCT01518192,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_031,NCT02789592,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_paraphrase_020,NCT04530149,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_14,NCT00816998,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_018,NCT04529369,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_046,NCT04822701,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_050,NCT01921972,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_059,NCT01634113,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_paraphrase_016,NCT03876652,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_007,NCT04059185,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_022,NCT03791229,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_034,NCT02546193,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_035,NCT04698525,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_006,NCT04233359,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_paraphrase_017,NCT04530149,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_058,NCT03902262,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_047,NCT00945373,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2021_019,NCT00487279,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_paraphrase_001,NCT00413855,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_15,NCT00738998,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_paraphrase_021,NCT00921609,True,possible_match_insufficient_evidence,0,0
B1_multi_rag,Qwen/Qwen2.5-3B-Instruct,case_trec2022_030,NCT04146649,True,possible_match_insufficient_evidence,0,0
