path,case_id,backbone,baseline_id,n_dropped,is_consensus_flagged
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_01.json,case_01,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_04.json,case_04,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_05.json,case_05,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_12.json,case_12,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_13.json,case_13,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_14.json,case_14,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_005.json,case_paraphrase_005,Qwen/Qwen2.5-3B-Instruct,V-final,5,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_011.json,case_paraphrase_011,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_013.json,case_paraphrase_013,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_014.json,case_paraphrase_014,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_015.json,case_paraphrase_015,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_020.json,case_paraphrase_020,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_029.json,case_paraphrase_029,Qwen/Qwen2.5-3B-Instruct,V-final,6,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_030.json,case_paraphrase_030,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_008.json,case_trec2021_008,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_012.json,case_trec2021_012,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_022.json,case_trec2021_022,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_025.json,case_trec2021_025,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_033.json,case_trec2021_033,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_036.json,case_trec2021_036,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_044.json,case_trec2021_044,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_059.json,case_trec2021_059,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_065.json,case_trec2021_065,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_002.json,case_trec2022_002,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_005.json,case_trec2022_005,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_031.json,case_trec2022_031,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_034.json,case_trec2022_034,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_042.json,case_trec2022_042,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_045.json,case_trec2022_045,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-3B-Instruct/case_trec2022_046.json,case_trec2022_046,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_01.json,case_01,Qwen/Qwen2.5-7B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_04.json,case_04,Qwen/Qwen2.5-7B-Instruct,V-final,3,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_05.json,case_05,Qwen/Qwen2.5-7B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_12.json,case_12,Qwen/Qwen2.5-7B-Instruct,V-final,3,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_13.json,case_13,Qwen/Qwen2.5-7B-Instruct,V-final,4,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_14.json,case_14,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_005.json,case_paraphrase_005,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_011.json,case_paraphrase_011,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_013.json,case_paraphrase_013,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_014.json,case_paraphrase_014,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_015.json,case_paraphrase_015,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_020.json,case_paraphrase_020,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_029.json,case_paraphrase_029,Qwen/Qwen2.5-7B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_paraphrase_030.json,case_paraphrase_030,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_008.json,case_trec2021_008,Qwen/Qwen2.5-7B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_012.json,case_trec2021_012,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_022.json,case_trec2021_022,Qwen/Qwen2.5-7B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_025.json,case_trec2021_025,Qwen/Qwen2.5-7B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_033.json,case_trec2021_033,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_036.json,case_trec2021_036,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_044.json,case_trec2021_044,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
