stratum,stratum_value,backbone,n,narrow_leak_rate,wide_leak_rate,sem_sonnet_rate,sem_gpt4o_rate,sem_either_rate,sem_both_rate
is_adversarial,0,Qwen__Qwen2.5-3B-Instruct,61,0.0,0.0,0.03278688524590164,0.09836065573770492,0.11475409836065574,0.01639344262295082
is_adversarial,0,Qwen__Qwen2.5-7B-Instruct,61,0.0,0.0,0.01639344262295082,0.11475409836065574,0.13114754098360656,0.0
is_adversarial,0,meta-llama__Meta-Llama-3.1-8B-Instruct,61,0.0,0.0,0.0,0.08196721311475409,0.08196721311475409,0.0
is_adversarial,0,mistralai__Mistral-7B-Instruct-v0.3,61,0.0,0.0,0.06557377049180328,0.13114754098360656,0.18032786885245902,0.01639344262295082
is_adversarial,1,Qwen__Qwen2.5-3B-Instruct,53,0.0,0.0,0.11320754716981132,0.24528301886792453,0.3018867924528302,0.05660377358490566
is_adversarial,1,Qwen__Qwen2.5-7B-Instruct,53,0.0,0.0,0.03773584905660377,0.16981132075471697,0.16981132075471697,0.03773584905660377
is_adversarial,1,meta-llama__Meta-Llama-3.1-8B-Instruct,53,0.0,0.0,0.05660377358490566,0.1320754716981132,0.1509433962264151,0.03773584905660377
is_adversarial,1,mistralai__Mistral-7B-Instruct-v0.3,53,0.0,0.0,0.018867924528301886,0.32075471698113206,0.32075471698113206,0.018867924528301886
is_deployed_accept,0,Qwen__Qwen2.5-3B-Instruct,43,0.0,0.0,0.13953488372093023,0.2558139534883721,0.32558139534883723,0.06976744186046512
is_deployed_accept,0,Qwen__Qwen2.5-7B-Instruct,43,0.0,0.0,0.046511627906976744,0.20930232558139536,0.20930232558139536,0.046511627906976744
is_deployed_accept,0,meta-llama__Meta-Llama-3.1-8B-Instruct,43,0.0,0.0,0.046511627906976744,0.11627906976744186,0.13953488372093023,0.023255813953488372
is_deployed_accept,0,mistralai__Mistral-7B-Instruct-v0.3,43,0.0,0.0,0.023255813953488372,0.32558139534883723,0.32558139534883723,0.023255813953488372
is_deployed_accept,1,Qwen__Qwen2.5-3B-Instruct,71,0.0,0.0,0.028169014084507043,0.11267605633802817,0.1267605633802817,0.014084507042253521
is_deployed_accept,1,Qwen__Qwen2.5-7B-Instruct,71,0.0,0.0,0.014084507042253521,0.09859154929577464,0.11267605633802817,0.0
is_deployed_accept,1,meta-llama__Meta-Llama-3.1-8B-Instruct,71,0.0,0.0,0.014084507042253521,0.09859154929577464,0.09859154929577464,0.014084507042253521
is_deployed_accept,1,mistralai__Mistral-7B-Instruct-v0.3,71,0.0,0.0,0.056338028169014086,0.15492957746478872,0.19718309859154928,0.014084507042253521
