query_id,doc_id,rank,score,run_name
1,NCT00783393,1,0.674494743347168,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00841555,2,0.6225465536117554,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00002620,3,0.6159886717796326,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00003621,4,0.6124823093414307,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00005084,5,0.6082020401954651,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01637766,6,0.6054794788360596,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03906448,7,0.6041216850280762,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00003537,8,0.6012239456176758,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01012609,9,0.5957802534103394,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00003470,10,0.5956432819366455,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02225223,11,0.5954405069351196,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01542736,12,0.5898336172103882,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00004259,13,0.5892125368118286,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01347307,14,0.5848278999328613,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01043536,15,0.5835932493209839,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03603405,16,0.5820276737213135,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03763422,17,0.5817452669143677,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00430911,18,0.5793411731719971,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00418327,19,0.5785616636276245,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04211974,20,0.5779035091400146,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00003471,21,0.5777873992919922,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02802969,22,0.5762355327606201,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00802659,23,0.5758090019226074,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03072979,24,0.574221134185791,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03084575,25,0.570441484451294,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00634426,26,0.5688656568527222,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02559804,27,0.5684878826141357,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00763750,28,0.5684311389923096,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03529708,29,0.567731499671936,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04192383,30,0.5658472776412964,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01502241,31,0.5653381943702698,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01857453,32,0.5639325380325317,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00003775,33,0.5618936419487,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02272270,34,0.5616589784622192,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02972229,35,0.5613661408424377,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02796261,36,0.5610657334327698,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03727841,37,0.5599613189697266,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04398095,38,0.5596718788146973,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04181684,39,0.5584224462509155,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03596086,40,0.5561071038246155,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03776071,41,0.5556588172912598,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00592748,42,0.5553750991821289,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01466686,43,0.553687334060669,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00717210,44,0.5526760220527649,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04757662,45,0.5516057014465332,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04375891,46,0.5498302578926086,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04559230,47,0.5492516160011292,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01849510,48,0.548939049243927,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02278744,49,0.5485034584999084,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04699773,50,0.5475608110427856,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03450850,51,0.5470886826515198,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01917825,52,0.5467426776885986,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02092038,53,0.5466324687004089,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02081053,54,0.5464491844177246,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00473408,55,0.5464243292808533,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01826058,56,0.5457814931869507,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01351870,57,0.5454800128936768,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00411619,58,0.5454132556915283,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00002840,59,0.5443840026855469,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02332408,60,0.5442904233932495,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03633552,61,0.544144332408905,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00879437,62,0.5433784127235413,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT04832620,63,0.5432547926902771,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00009035,64,0.5432102680206299,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03011671,65,0.5429056286811829,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00974168,66,0.5426652431488037,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01004874,67,0.5425806045532227,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT02130271,68,0.5424095988273621,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01256554,69,0.5412163138389587,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT03022578,70,0.5409448146820068,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT00901849,71,0.539937436580658,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
1,NCT01435395,72,0.5398759841918945,dense__sentence_transformers__all_MiniLM_L6_v2__text_all
