query_id,doc_id,rank,score,run_name
1,NCT03784729,1,211.3391092970443,bm25_eligibility_focus
1,NCT00876499,2,211.257805856904,bm25_eligibility_focus
1,NCT00257998,3,206.42069066810478,bm25_eligibility_focus
1,NCT04263740,4,202.44784282622692,bm25_eligibility_focus
1,NCT01011231,5,201.56749583681437,bm25_eligibility_focus
1,NCT00412542,6,200.24123423567346,bm25_eligibility_focus
1,NCT03224104,7,199.67359227573877,bm25_eligibility_focus
1,NCT01051557,8,199.57853650694204,bm25_eligibility_focus
1,NCT01781468,9,199.55748551770623,bm25_eligibility_focus
1,NCT00683761,10,199.50261648234326,bm25_eligibility_focus
1,NCT01721577,11,199.31227824509494,bm25_eligibility_focus
1,NCT00114140,12,198.86802165796482,bm25_eligibility_focus
1,NCT00004259,13,197.79343451156078,bm25_eligibility_focus
1,NCT03514069,14,197.5791287101834,bm25_eligibility_focus
1,NCT01837862,15,197.4914914687975,bm25_eligibility_focus
1,NCT01251913,16,197.41535346327268,bm25_eligibility_focus
1,NCT00922974,17,197.21417314840448,bm25_eligibility_focus
1,NCT01110876,18,197.17022253817152,bm25_eligibility_focus
1,NCT00044109,19,197.00499413949922,bm25_eligibility_focus
1,NCT03022578,20,196.7611585722843,bm25_eligibility_focus
1,NCT02022644,21,195.96674313899427,bm25_eligibility_focus
1,NCT02015819,22,195.72004441120407,bm25_eligibility_focus
1,NCT01466686,23,195.69177357601671,bm25_eligibility_focus
1,NCT02942264,24,195.63576892472878,bm25_eligibility_focus
1,NCT04173923,25,195.63422574315464,bm25_eligibility_focus
1,NCT00841555,26,195.62312548319576,bm25_eligibility_focus
1,NCT00526812,27,195.1201752899535,bm25_eligibility_focus
1,NCT03152318,28,195.06256220763044,bm25_eligibility_focus
1,NCT04541082,29,195.00075265641516,bm25_eligibility_focus
1,NCT00949026,30,194.6792912246191,bm25_eligibility_focus
1,NCT00268385,31,194.59442446204696,bm25_eligibility_focus
1,NCT04197934,32,194.55418128305547,bm25_eligibility_focus
1,NCT00047879,33,194.46485707972593,bm25_eligibility_focus
1,NCT02761070,34,194.44553446832626,bm25_eligibility_focus
1,NCT01438203,35,194.43936764661285,bm25_eligibility_focus
