query_id,doc_id,rank_bm25,score_bm25
1,NCT01517776,1,303.3155088952046
1,NCT00114140,2,301.21342098424947
1,NCT01721577,3,299.4580491205234
1,NCT01466686,4,298.91928127699845
1,NCT02942264,5,295.9541791290139
1,NCT00003176,6,294.7604360470424
1,NCT03022578,7,292.8554967744092
1,NCT00968240,8,292.4267637185435
1,NCT00412542,9,291.4713031310971
1,NCT00734682,10,291.08686246916426
1,NCT03896568,11,290.0422485137016
1,NCT00047879,12,289.82413655823774
1,NCT00504660,13,289.6103500605744
1,NCT00841555,14,289.2092419002908
1,NCT01051557,15,288.8421097144042
1,NCT03224104,16,288.3690769317236
1,NCT00004259,17,287.5805323095722
1,NCT03528642,18,286.6706400010105
1,NCT01514201,19,286.3977664779162
1,NCT02174770,20,285.8731838761862
1,NCT03633552,21,285.2730391720761
1,NCT04197934,22,284.26022979521656
1,NCT03514069,23,284.2585752433771
1,NCT00526812,24,283.8148681116762
1,NCT03879512,25,283.0313402793295
1,NCT01011231,26,281.5869238173372
1,NCT02453360,27,281.18641251776154
1,NCT02761070,28,281.12393956543457
1,NCT03919071,29,280.39498821083254
1,NCT01281982,30,279.37948816596185
1,NCT03696355,31,279.15693701542585
1,NCT02879461,32,279.09758798457557
1,NCT00783393,33,279.0025819007492
1,NCT03513679,34,278.9364732629226
1,NCT00052624,35,278.280018689485
1,NCT01392209,36,277.7934660375675
1,NCT00089427,37,277.4981739989042
1,NCT04267978,38,277.4164228205181
1,NCT01189266,39,277.3733752490661
1,NCT00869050,40,277.2413070912414
1,NCT00922974,41,276.73462962676035
1,NCT03603405,42,276.55626718793917
1,NCT00100802,43,276.5366959761859
1,NCT00275067,44,276.4477943151434
1,NCT01502241,45,276.260856794922
1,NCT00272350,46,276.2440489109047
1,NCT00761280,47,275.90400596884615
1,NCT00976313,48,275.90304306757224
1,NCT00003537,49,275.41598695182523
1,NCT03234595,50,275.34888654485314
1,NCT01119599,51,275.0361914747545
1,NCT01180816,52,274.98326853976334
1,NCT00268385,53,274.7931822517263
1,NCT01475006,54,274.69999400082986
1,NCT02005081,55,274.6170982673174
1,NCT00360828,56,274.5757370332787
1,NCT02015819,57,274.2903390952895
1,NCT00389090,58,273.6061140045105
1,NCT01110876,59,273.3604854814703
1,NCT00606008,60,273.3329449271767
1,NCT02022644,61,273.1434977183889
1,NCT02607124,62,272.6618801804767
1,NCT01837862,63,272.37821587918916
1,NCT03152318,64,272.2266592894083
1,NCT00859222,65,272.1654572889195
1,NCT03193658,66,271.93575405189165
1,NCT04623931,67,271.80428524531925
1,NCT03743740,68,271.78109745745104
1,NCT00458731,69,271.64785439799255
1,NCT02055196,70,271.49254695961264
1,NCT00990652,71,271.1319621666188
1,NCT01577966,72,270.9468657611923
1,NCT01597791,73,270.94176296013455
1,NCT03043391,74,270.83524620750853
1,NCT00704080,75,270.833841626512
1,NCT00028795,76,270.5454700587505
1,NCT00281905,77,270.24415357424544
1,NCT00002944,78,270.1238342789511
1,NCT00272870,79,269.63548337857657
1,NCT00360945,80,269.43443205084014
1,NCT00683761,81,269.1414036403628
1,NCT03355794,82,269.11652237716993
1,NCT03581292,83,268.86746902669154
1,NCT00516282,84,268.830071977608
1,NCT03784729,85,268.81969517369015
1,NCT01781468,86,268.7371180412646
1,NCT03020602,87,268.6211668903468
1,NCT03906448,88,268.58991195666727
1,NCT03605550,89,268.5895911661592
1,NCT00626990,90,268.50874170616
1,NCT02592642,91,268.064215976927
1,NCT02991456,92,268.04564168964896
1,NCT02343406,93,267.9909655201312
1,NCT02700594,94,267.90094980420076
1,NCT04611464,95,267.7113717732984
1,NCT01256554,96,267.6772702859997
1,NCT04047303,97,267.5016843150603
1,NCT01922076,98,267.089756016191
1,NCT04771936,99,267.0875315629654
1,NCT01434602,100,266.98453035862735
1,NCT00949026,101,266.87711702263323
1,NCT00343304,102,266.74459897007335
1,NCT00003470,103,266.69520454932535
1,NCT00313521,104,266.6719918995016
1,NCT01480050,105,266.64449585530446
